step,epoch,train_mae_step,valid_loss,valid_mae,train_mae_epoch,train_loss,test_loss,test_mae
281,46,,,,228.10926818847656,110463.375,,
284,47,247.04937744140625,,,,,,
287,47,,119610.390625,245.64727783203125,,,,
287,47,,,,232.1124267578125,119967.109375,,
289,48,237.17398071289062,,,,,,
293,48,,129286.6875,266.6606750488281,,,,
293,48,,,,228.47727966308594,115008.1015625,,
294,49,265.2896728515625,,,,,,
299,49,210.6002960205078,,,,,,
299,49,,123543.3125,248.27792358398438,,,,
299,49,,,,252.6735076904297,137719.765625,,
300,50,,,,,,123543.3125,248.27792358398438
